months,approve,disapprove,party,source
0,9,81,all,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
0,3,94,dem,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
0,12,83,indep,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
0,16,74,rep,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
12,14,73,all,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
12,10,86,dem,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
12,15,75,indep,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
12,22,61,rep,https://today.yougov.com/politics/articles/40305-capitol-january-6-one-year-later-poll
17,20,67,all,https://today.yougov.com/politics/articles/43001-january-6-economistyougov-poll-june-25-28-2022
17,13,81,dem,https://today.yougov.com/politics/articles/43001-january-6-economistyougov-poll-june-25-28-2022
17,17,63,indep,https://today.yougov.com/politics/articles/43001-january-6-economistyougov-poll-june-25-28-2022
17,31,54,rep,https://today.yougov.com/politics/articles/43001-january-6-economistyougov-poll-june-25-28-2022
24,20,64,all,https://today.yougov.com/politics/articles/44904-most-americans-disapprove-january-6-capitol-attack
24,16,80,dem,https://today.yougov.com/politics/articles/44904-most-americans-disapprove-january-6-capitol-attack
24,14,61,indep,https://today.yougov.com/politics/articles/44904-most-americans-disapprove-january-6-capitol-attack
24,32,49,rep,https://today.yougov.com/politics/articles/44904-most-americans-disapprove-january-6-capitol-attack
26,19,65,all,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_pdVRQRJ.pdf#page=2
26,20,76,dem,https://ygo-assets-websites-editorial-emea.yougov.net/documents/econTabReport_o4FQ0sX.pdf#page=27
26,13,73,indep,https://ygo-assets-websites-editorial-emea.yougov.net/documents/econTabReport_o4FQ0sX.pdf#page=27
26,27,47,rep,https://ygo-assets-websites-editorial-emea.yougov.net/documents/econTabReport_o4FQ0sX.pdf#page=27
30,14,74,all,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_4jJ1SiE.pdf
30,9,86,dem,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_4jJ1SiE.pdf
30,9,76,indep,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_4jJ1SiE.pdf
30,25,60,rep,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_4jJ1SiE.pdf
36,22,78,all,https://www.cbsnews.com/news/jan-6-opinion-poll-republican-disapproval-wanes-2024-01-06/
36,16,84,dem,https://www.cbsnews.com/news/jan-6-opinion-poll-republican-disapproval-wanes-2024-01-06/
36,18,82,indep,https://www.cbsnews.com/news/jan-6-opinion-poll-republican-disapproval-wanes-2024-01-06/
36,30,70,rep,https://www.cbsnews.com/news/jan-6-opinion-poll-republican-disapproval-wanes-2024-01-06/